15s_rrna	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
21s_rrna	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
hra1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
icr1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
lsr1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
nme1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
pwr1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
q0010	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
q0017	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
q0032	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
q0045	NP_009305.1	NC_001224.1	D	13818	26701	COX1	NP_009305.1;COX1;COX1;Q0045;854598;6226519;NP_009305.1;NP_009305	Subunit I of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits; Cox1p
q0050	NP_009310.1	NC_001224.1	D	13818	16322	AI1	NP_009310.1;AI1;AI1;Q0050;854593;6226520;NP_009310.1;NP_009310	Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene; Ai1p
q0055	NP_009309.1	NC_001224.1	D	13818	18830	AI2	NP_009309.1;AI2;AI2;Q0055;854594;6226521;NP_009309.1;NP_009309	Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene; Ai2p
q0060	NP_009308.2	NC_001224.1	D	13818	19996	AI3	NP_009308.2;AI3;AI3;Q0060;854595;85666122;NP_009308.2;NP_009308	Endonuclease I-SceIII, encoded by a mobile group I intron within the mitochondrial COX1 gene; Ai3p
q0065	NP_009307.2	NC_001224.1	D	13818	21935	AI4	NP_009307.2;AI4;AI4;Q0065;854596;85666123;NP_009307.2;NP_009307	Endonuclease I-SceII, encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity; Ai4p
q0070	NP_009306.1	NC_001224.1	D	13818	23167	AI5_ALPHA	NP_009306.1;AI5_ALPHA;AI5_ALPHA;Q0070;854597;6226524;NP_009306.1;NP_009306	Endonuclease I-SceIV, involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene; Ai5_alphap
q0075	NP_009311.2	NC_001224.1	D	24156	25255	AI5_BETA	NP_009311.2;AI5_BETA;AI5_BETA;Q0075;854599;6381999;NP_009311.2;NP_009311	Protein of unknown function, encoded within an intron of the mitochondrial COX1 gene; translational initiation codon is predicted to be ATA rather than ATG; Ai5_betap
q0080	NP_009312.1	NC_001224.1	D	27666	27812	ATP8	NP_009312.1;ATP8;ATP8;Q0080;854600;6226526;NP_009312.1;NP_009312	Subunit 8 of the F0 sector of mitochondrial inner membrane F1-F0 ATP synthase, encoded on the mitochondrial genome; Atp8p
q0085	NP_009313.1	NC_001224.1	D	28487	29266	ATP6	NP_009313.1;ATP6;ATP6;Q0085;854601;6226527;NP_009313.1;NP_009313	Mitochondrially encoded subunit 6 of the F0 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; Atp6p
q0092	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
q0105	NP_009315.1	NC_001224.1	D	36540	43647	COB	NP_009315.1;COB;COB;Q0105;854583;6226529;NP_009315.1;NP_009315	Cytochrome b, mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p; Cobp
q0110	NP_009318.1	NC_001224.1	D	36540	38579	BI2	NP_009318.1;BI2;BI2;Q0110;854604;6226530;NP_009318.1;NP_009318	Mitochondrial mRNA maturase with a role in splicing, encoded by both exon and intron sequences of partially processed COB mRNA; Bi2p
q0115	NP_009317.1	NC_001224.1	D	36540	40265	BI3	NP_009317.1;BI3;BI3;Q0115;854605;6226531;NP_009317.1;NP_009317	Mitochondrial mRNA maturase, forms a complex with Mrs1p to mediate splicing of the bI3 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA; Bi3p
q0120	NP_009316.1	NC_001224.1	D	36540	42251	BI4	NP_009316.1;BI4;BI4;Q0120;854582;6226532;NP_009316.1;NP_009316	Mitochondrial mRNA maturase, forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA; Bi4p
q0130	NP_009319.1	NC_001224.1	D	46723	46953	OLI1	NP_009319.1;OLI1;OLI1;Q0130;854584;6226533;NP_009319.1;NP_009319	Oli1p; F0-ATP synthase subunit 9 (ATPase-associated proteolipid), encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2
q0140	NP_009320.1	NC_001224.1	D	48901	50097	VAR1	NP_009320.1;VAR1;VAR1;Q0140;854586;6226534;NP_009320.1;NP_009320	Var1p; Mitochondrial ribosomal protein of the small subunit, mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near the mitochondrial inner membrane
q0142	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
q0143	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
q0144	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
q0160	NP_009324.1	NC_001224.1	D	61022	61729	SCEI	NP_009324.1;SCEI;SCEI;Q0160;854590;6226538;NP_009324.1;NP_009324	Sceip; I-SceI DNA endonuclease, encoded by the mitochondrial group I intron of the 21S_rRNA gene; mediates gene conversion that propagates the intron into intron-less copies of the 21S_rRNA gene
q0182	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
q0250	NP_009326.1	NC_001224.1	D	73758	74513	COX2	NP_009326.1;COX2;COX2;Q0250;854622;6226540;NP_009326.1;NP_009326	Subunit II of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits; Cox2p
q0255	NP_009327.1	NC_001224.1	D	74495	75984	Q0255	NP_009327.1;Q0255;Q0255;854623;6226541;NP_009327.1;NP_009327	Q0255p; Maturase-like protein
q0275	NP_009328.1	NC_001224.1	D	79213	80022	COX3	NP_009328.1;COX3;COX3;Q0275;854627;6226542;NP_009328.1;NP_009328	Subunit III of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits; Cox3p
q0297	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn18-1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn18-2	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn25-1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn25-2	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn37-1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn37-2	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn5-1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn5-2	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn5-3	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn5-4	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn5-5	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn5-6	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn58-1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rdn58-2	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rna170	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rpm1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
rpr1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
ruf20	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
ruf21	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
ruf22	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
ruf23	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
ruf5-1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
ruf5-2	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
scr1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
srg1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
tlc1	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
yal001c	NP_009400.1	NC_001133.7	R	147596	151168	TFC3	NP_009400.1;TFC3;TFC3;YAL001C;851262;6319317;NP_009400.1;NP_009400	Tfc3p; Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding
yal002w	NP_009399.2	NC_001133.7	D	143709	147533	VPS8	NP_009399.2;VPS8;VPS8;YAL002W;851261;41629668;NP_009399.2;NP_009399	Vps8p; Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif
yal003w	NP_009398.1	NC_001133.7	D	142176	143162	EFB1	NP_009398.1;EFB1;EFB1;YAL003W;851260;6319315;NP_009398.1;NP_009398	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; Efb1p
yal004w	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
yal005c	NP_009396.2	NC_001133.7	R	139505	141433	SSA1	NP_009396.2;SSA1;SSA1;YAL005C;851259;144228166;NP_009396.2;NP_009396	Ssa1p; ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall
yal007c	NP_009395.1	NC_001133.7	R	137700	138347	ERP2	NP_009395.1;ERP2;ERP2;YAL007C;851226;6319312;NP_009395.1;NP_009395	Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles; Erp2p
yal008w	NP_009394.1	NC_001133.7	D	136916	137512	FUN14	NP_009394.1;FUN14;FUN14;YAL008W;851225;6319311;NP_009394.1;NP_009394	Mitochondrial protein of unknown function; Fun14p
yal009w	NP_009393.1	NC_001133.7	D	135856	136635	SPO7	NP_009393.1;SPO7;SPO7;YAL009W;851224;6319310;NP_009393.1;NP_009393	Spo7p; Regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, which regulates nuclear growth by controlling recruitment of Pah1p onto promoters of phospholipid biosynthetic genes; required for normal nuclear envelope morphology and sporulation
yal010c	NP_009392.1	NC_001133.7	R	134186	135667	MDM10	NP_009392.1;MDM10;MDM10;YAL010C;851223;6319309;NP_009392.1;NP_009392	Subunit of both the Mdm10-Mdm12-Mmm1 complex and the mitochondrial sorting and assembly machinery (SAM complex); functions in both the general and Tom40p-specific pathways for import and assembly of outer membrane beta-barrel proteins; Mdm10p
yal011w	NP_009391.2	NC_001133.7	D	132202	134079	SWC3	NP_009391.2;SWC3;SWC3;YAL011W;851222;37362611;NP_009391.2;NP_009391	Swc3p; Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae
yal012w	NP_009390.1	NC_001133.7	D	130802	131986	CYS3	NP_009390.1;CYS3;CYS3;YAL012W;851221;6319307;NP_009390.1;NP_009390	Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; Cys3p
yal013w	NP_009389.2	NC_001133.7	D	129271	130533	DEP1	NP_009389.2;DEP1;DEP1;YAL013W;851220;41629667;NP_009389.2;NP_009389	Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation; Dep1p
yal014c	NP_009388.2	NC_001133.7	R	128253	129020	SYN8	NP_009388.2;SYN8;SYN8;YAL014C;851219;27469359;NP_009388.2;NP_009388	Syn8p; Endosomal SNARE related to mammalian syntaxin 8
yal015c	NP_009387.1	NC_001133.7	R	126904	128103	NTG1	NP_009387.1;NTG1;NTG1;YAL015C;851218;6319304;NP_009387.1;NP_009387	Ntg1p; DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair, localizes to the nucleus and mitochondrion
yal016c-a	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
yal016c-b	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
yal016w	NP_009386.1	NC_001133.7	D	124880	126787	TPD3	NP_009386.1;TPD3;TPD3;YAL016W;851217;6319303;NP_009386.1;NP_009386	Tpd3p; Regulatory subunit A of the heterotrimeric protein phosphatase 2A, which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and for transcription by RNA polymerase III
yal017w	NP_009385.1	NC_001133.7	D	120226	124296	PSK1	NP_009385.1;PSK1;PSK1;YAL017W;851216;6319302;NP_009385.1;NP_009385	Psk1p; One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status
yal018c	NP_009384.1	NC_001133.7	R	118565	119542	YAL018C	NP_009384.1;YAL018C;YAL018C;851215;6319301;NP_009384.1;NP_009384	Yal018cp; Putative protein of unknown function
yal019w	NP_009383.1	NC_001133.7	D	114920	118315	FUN30	NP_009383.1;FUN30;FUN30;YAL019W;851214;6319300;NP_009383.1;NP_009383	Protein whose overexpression affects chromosome stability, potential Cdc28p substrate; homolog of Snf2p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; Fun30p
yal019w-a	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>	<NULL>
yal020c	NP_009382.1	NC_001133.7	R	113615	114616	ATS1	NP_009382.1;ATS1;ATS1;YAL020C;851213;6319299;NP_009382.1;NP_009382	Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle; Ats1p
yal021c	NP_009381.1	NC_001133.7	R	110847	113360	CCR4	NP_009381.1;CCR4;CCR4;YAL021C;851212;6319298;NP_009381.1;NP_009381	Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening; Ccr4p
